english,burmese
"▲/> = Not More than",ထက်မများရ
"▼/< = Not Less than",ထက်မနည်းရ
9%NS=9%Normal Saline,ဆားရည် (၉%)
abdomen,ဝမ်းဗိုက်
abdominal wall abscess,ဝမ်းဗိုက်နံရံပြည်တည်နာ
ablepsia,"မျက်မမြင်ခြင်း၊ အမြင်ကွယ်ခြင်း"
abrasion,ပွန်းပဲ့ရာ
abscess,ပြည်တည်နာ
AC = Before meal,အစာမစားမီ
ache,နာကျင်ကိုက်ခဲခြင်း
acidosis,သွေးအက်ဆစ်ဓာတ်များခြင်း
acute,ရုတ်တရက်ဖြစ်သော
acute abdomen pain,ရုတ်တရက်ဝမ်းဗိုက်နာကျင်ခြင်း
acute appendicitis,ရုတ်တရက်အူအတက်ရောင်ရမ်းနာ
acute cystitis,ရုတ်တရက်ဆီးအိမ်ရောင်ရမ်းနာ
acute pyelonephritis,ရုတ်တရက်ကျောက်ကပ်ရောင်ရမ်းနာ
acute renal failure,ရုတ်တရက်ကျောက်ကပ်အလုပ်မလုပ်တော့ခြင်း
adam's apple,လည်ချောင်းဂုတ် (?)
adolescent,ဆယ်ကျော်သက်
AIDS,"ကိုယ်ခံအားခုခံစွမ်းအင်ကျစေသည့်ရောဂါ၊ အေအိုင်ဒီအက်စ်ရောဂါ"
airway,လေလမ်းကြောင်း
alcoholism,အရက်စွဲခြင်း
allergy,"သွေးမတည့်ခြင်း၊ ဓာတ်မတည့်ခြင်း"
ambulance,လူနာတင်ကား
amputate,ခြေလက်တို့ဖြတ်ပစ်သည်
amputee,ခြေပြတ်လက်ပြတ်သောသူ
anaemia,သွေးအားနည်းရောဂါ
anaesthetic,မေ့ဆေး
anatomy,ခန္ဓာဗေဒ
anesthesiologist,မေ့ဆေး/ထုံဆေးဆရာဝန်
ankle,ခြေချင်းဝတ်
anorexia,ခံတွင်းပျက်ခြင်း
anoxia,အောက်ဆီဂျင်မဲ့ခြင်း
antenatal,ကလေးမမွေးမီ
anus,စအို
anxiety,စိုးရိမ်ပူပန်မှု
appendicitis,အူအတက်ရောင်ရမ်းနာ
appendix,အူအတက်
arm bone,လက်မောင်းရိုး
armpit,ချိုင်းကြား
arteriosclerosis,သွေးကြောတွင်အဆီများပိတ်ဆို့နေခြင်း
artery,သွေးလွှတ်ကြော
arthritis,အရိုးဆက်ရောင်ရမ်းနာ
ascites,ဝမ်းရေ
asphyxia,"မွန်းခြင်း၊ အသက်မွန်ခြင်း"
asthma,ပန်းနာရင်ကြပ်
baby,နို့စို့ကလေး
back bone,ကျောရိုး
backache,ကျောနာ ခါးနာ
bacteria,ပက်တီးရီးယား
balm,ပရုတ်ဆီ
bandage,ပတ်တီး
belch,ရေချၚ်းတက်ခြင်း
bile,သည်းခြေ
bladder,ဆီးအိမ်
bleed,သွေးထွက်သည်
blind,ကန်းသော
blink,မျက်တောင်ခတ်သည်
blister,ရေကြည်ဖု
blood,သွေး
blood clot,သွေးခဲခြင်း
blood group,သွေးအုပ်စု
blood pressure (BP),သွေးဖိအား
blood transfusion,သွေးသွင်းကုသခြင်း
blood vessel,သွေးကြော
bone,အရိုး
brain,ဦးနှောက်
breast,နို့အုံ
breath,ထွက်သက်ဝင်သက်
breathe,အသက်ရှူခြင်း
bronchitis,လေပြွန်များရောင်ရမ်းခြင်း
bruise,သွေးခြေဥခြင်း
buttock,တင်ပါးဆုံ
calcium,"ကယ်လစီယမ်၊ ထုံးဓာတ်"
calf,ခြေသလုံး
cancer,"ကင်ဆာရောဂါ၊ ကာဆီးနိုးမား"
capsule (Cap),ဆေးတောင့်
car sickness,"ကားတောက်ခြင်း၊ ကားမူးခြင်း"
cardiovascular disease,နှလုံးသွေးကြောဆိုင်ရာရောဂါ
cast,ကျောက်ပတ်တီးစည်းခြင်း
cell,ဆဲလ်
cerebral haemorrhage,ဦးနှောက်ရှိသွေးကြောသွေးထွက်လာခြင်း
cerebral malaria,ဦးနှောက်ထဲသို့ငှက်ဖျားပိုးဝင်ခြင်း
cheek,ပါး
chest,ရင်ဘတ်
chest pain,ရင်ဘတ်တွင်နာကျင်ခြင်း
chew,ဝါးသည်
chicken pox,ရေကျောက်
chills,"ချမ်းစိမ့်ခြင်း၊ ဖျားတုန်ခြင်း"
chin,မေးစေ့
choke,ဆို့နင့်သည်
cholera,ကာလဝမ်းရောဂါ
chronic,နာတာရှည်
circulation,သွေးလှည့်ပတ်ခြင်း
clavicle,လက်ကတုံးရိုး
clinic,ဆေးပေးခန်း
cold,အအေးမိခြင်း
colon,အူမကြီး
coma,မေ့မြောခြင်း
common cold,အအေးမိခြင်း
complete rest,ကောင်းမွန်ပြည့်ဝစွာအနားယူခြင်း
complications,နောက်ဆက်တွဲဆိုးကျိုးများ
constipation,ဝမ်းချုပ်ခြင်း
contaminated,ရောဂါပိုးကူးစက်ခြင်း
corpse,လူသေအလောင်း
cough,ချောင်းဆိုးခြင်း
cramp,ကြွက်တက်ခြင်း
cremate,မီးသဂြိုဟ်ခြင်း
D/5/W = 5% Dextrose water,သကြားရည် ၅%
daily wound dressing,နေ့စဉ်အနာဆေးထည့်ခြင်း
dandruff,ဗောက်ထခြင်း
deaf,နားပင်းခြင်း
deficiency,မလုံလောက်ခြင်း
dehydration,အရည်ခမ်းခြောက်ခြင်း
dengue fever,သွေးလွန်တုပ်ကွေး
depression,စိတ်ဓာတ်ကျခြင်း
diabetes,ဆီးချိုရောဂါ
diagnosis,ရောဂါအမည်ဖော်ခြင်း
diarrhoea,"ဝမ်းသက်ခြင်း၊ ဝမ်းလျှောခြင်း"
digestion,အစာချေခြင်း
diphtheria,ဆုံဆို့နာ
disease,ရောဂါ
disinfect,ပိုးသတ်ခြင်း
dizzy,ခေါင်းမူးခြင်း
