english,malay,category
Abdominal,bahagian perut,medical
Accident,kemalangan,medical
Abuse,penderaan,medical
Addict,penagih,medical
Agony,keperitan,medical
Ailment,penyakit,medical
Alcohol,alkohol,medical
Amputation,amputasi,medical
Anaesthetic,ubat bius,medical
Bandage,pembalut,medical
Bleed,berdarah,medical
Blind,buta,medical
Clinical,klinikal,medical
Contusion,lebam,medical
Convalesce,sembuh,medical
Convulsion,sawan,medical
Cough,batuk,medical
Cramp,kekejangan,medical
Crutch,tongkat,medical
Cure,penawar,medical
Debility,kelemahan,medical
Defecate,buang air besar,medical
Delirious,mengigau,medical
Dentist,doktor gigi,medical
Depression,kemurungan,medical
Diabetes,kencing manis,medical
Disease,penyakit,medical
Doctor,doktor,medical
Febrile,demam,medical
Fever,demam,medical
Fracture,patah tulang,medical
Gargle,berkumur-kumur,medical
Gash,luka,medical
Lesion,luka,medical
Ligament,ligamen,medical
Measles,demam campak,medical
Medical,perubatan,medical
Mental,mental,medical
Nurse,jururawat,medical
Pain,sakit,medical
Palpate,meraba,medical
Panting,tercungap-cungap,medical
Paralyse,lumpuh,medical
Patient,pesakit,medical
Protein,protein,medical
Poultice,tuam,medical
Relax,berehat,medical
Relief,kelegaan,medical
Spine,tulang belakang,medical
Shiver,menggigil,medical
Shock,terkejut,medical
Sneeze,bersin,medical
Suicide,bunuh diri,medical
Swelling,bengkak,medical
Tablet,tablet,medical
Temperature,suhu,medical
Abuse,penderaan,everyday
Accept,terima,everyday
Access,akses,everyday
Accuse,menuduh,everyday
Achieve,capai,everyday
Acknowledge,mengakui,everyday
Acquire,memperoleh,everyday
Act,bertindak,everyday
Adapt,menyesuaikan,everyday
Add,Tambah,everyday
Adjust,melaraskan,everyday
Admire,mengagumi,everyday
Admit,mengaku,everyday
Adopt,menerima pakai,everyday
Adore,memuja,everyday
Advance,memajukan,everyday
Affect,mempengaruhi,everyday
Afford,mampu,everyday
Agree,setuju,everyday
Allow,benarkan,everyday
Amaze,memukau,everyday
Amount,jumlah,everyday
Anger,kemarahan,everyday
Announce,mengumumkan,everyday
Answer,jawab,everyday
Anticipate,jangkakan,everyday
Apologize,minta maaf,everyday
Appeal,rayuan,everyday
Appear,muncul,everyday
Apply,memohon,everyday
Appreciate,hargai,everyday
Approach,pendekatan,everyday
Appropriate,sesuai,everyday
Approve,terima,everyday
Are,adalah,everyday
Argue,berhujah,everyday
Arise,timbul,everyday
Arrange,mengatur,everyday
Arrive,tiba,everyday
Ask,bertanya,everyday
Assist,membantu,everyday
Associate,bersekutu,everyday
Assume,andaikan,everyday
Assure,beri jaminan,everyday
Attach,lampirkan,everyday
Attack,serang,everyday
Attempt,percubaan,everyday
Attend,hadir,everyday
Attract,tertarik,everyday
Avoid,elakkan,everyday
Bake,bakar,everyday
Balance,seimbang,everyday
Base,asas,everyday
Battle,pertempuran,everyday
Bear,menanggung,everyday
Beat,pukul,everyday
Become,menjadi,everyday
Bed,katil,everyday
Been,telah,everyday
Begin,bermula,everyday
Behave,berkelakuan,everyday
Being,menjadi,everyday
Believe,percaya,everyday
Belong,milik,everyday
Bend,bengkok,everyday
Bet,pertaruhan,everyday
Bid,tawaran,everyday
Blame,salahkan,everyday
Block,blok,everyday
Blow,pukulan,everyday
Born,dilahirkan,everyday
Borrow,meminjam,everyday
Bother,menyusahkan,everyday
Break,rehat,everyday
Bring,bawa,everyday
Brush,berus,everyday
Build,membina,everyday
Burn,terbakar,everyday
Burst,pecah,everyday
Buy,beli,everyday
Calculate,mengira,everyday
Call,panggilan,everyday
Camp,perkhemahan,everyday
Cancel,batalkan,everyday
Care,jaga,everyday
Carry,membawa,everyday
Cash,tunai,everyday
Catch,tangkap,everyday
Cause,sebab,everyday
Celebrate,meraikan,everyday
Change,ubah,everyday
Chart,carta,everyday
Check,semak,everyday
Choose,pilih,everyday
Claim,tuntutan,everyday
Clean,bersih,everyday
Clear,jelas,everyday
Click,klik,everyday
Close,tutup,everyday
Collect,mengumpul,everyday
Combine,Gabung,everyday
Come,datang,everyday
Command,perintah,everyday
Comment,komen,everyday
Commit,komited,everyday
Communicate,berkomunikasi,everyday
Company,syarikat,everyday
Compare,bandingkan,everyday
Compete,bersaing,everyday
Complain,mengeluh,everyday
Complete,lengkap,everyday
