english,tamil,category
Abdominal,வயிறு,medical
Accident,விபத்து,medical
Abuse,துஷ்பிரயோகம்,medical
Addict,அடிமை,medical
Agony,வேதனை,medical
Ailment,நோய்,medical
Alcohol,மது,medical
Amputation,துண்டித்தல்,medical
Anaesthetic,மயக்க மருந்து,medical
Bandage,கட்டு,medical
Bleed,இரத்தப்போக்கு,medical
Blind,குருடர்,medical
Clinical,மருத்துவம்,medical
Contusion,நசுங்கிய காயம்,medical
Convalesce,குணமடை,medical
Convulsion,வலிப்பு,medical
Cough,இருமல்,medical
Cramp,தசைப்பிடிப்பு,medical
Crutch,ஊன்றுகோல்,medical
Cure,குணப்படுத்து,medical
Debility,பலவீனம்,medical
Defecate,மலம் கழிக்க,medical
Delirious,பிதற்றல்,medical
Dentist,பல் மருத்துவர்,medical
Depression,மன அழுத்தம்,medical
Diabetes,சர்க்கரை நோய்,medical
Disease,நோய்,medical
Doctor,மருத்துவர்,medical
Febrile,காய்ச்சல் சார்ந்த,medical
Fever,காய்ச்சல்,medical
Fracture,எலும்பு முறிவு,medical
Gargle,வாய் கொப்பளிக்க,medical
Gash,ஆழமான வெட்டுக்காயம்,medical
Lesion,புண்,medical
Ligament,தசைநார்,medical
Measles,தட்டம்மை,medical
Medical,மருத்துவ,medical
Mental,மன,medical
Nurse,செவிலியர்,medical
Pain,வலி,medical
Palpate,தடவிப் பரிசோதி,medical
Panting,மூச்சிரைத்தல்,medical
Paralyse,முடக்கு,medical
Patient,நோயாளி,medical
Protein,புரதம்,medical
Poultice,பற்று மருந்து,medical
Relax,ஓய்வெடு,medical
Relief,துயர் நீக்கம்,medical
Spine,முதுகெலும்பு,medical
Shiver,நடுக்கம்,medical
Shock,அதிர்ச்சி,medical
Sneeze,தும்மல்,medical
Suicide,தற்கொலை,medical
Swelling,வீக்கம்,medical
Tablet,மாத்திரை,medical
Temperature,வெப்ப நிலை,medical
Abuse,துஷ்பிரயோகம்,everyday
Accept,ஏற்றுக்கொள்,everyday
Access,அணுகல்,everyday
Accuse,குற்றம் சாட்டு,everyday
Achieve,அடைய,everyday
Acknowledge,ஒப்புக்கொள்,everyday
Acquire,பெறு,everyday
Act,செயல்படு,everyday
Adapt,ஏற்ப,everyday
Add,கூட்டு,everyday
Adjust,சரிசெய்,everyday
Admire,ரசி,everyday
Admit,ஒப்புக்கொள்,everyday
Adopt,தத்தெடு,everyday
Adore,வணங்கு,everyday
Advance,முன்னேறு,everyday
Affect,பாதி,everyday
Afford,வாங்கும் வசதி,everyday
Agree,ஒப்புக்கொள்,everyday
Allow,அனுமதி,everyday
Amaze,பிரமிக்க வை,everyday
Announce,அறிவி,everyday
Answer,பதில்,everyday
Anticipate,எதிர்பார்,everyday
Apologize,மன்னிப்பு கேள்,everyday
Appeal,மேல்முறையீடு,everyday
Appear,தோன்று,everyday
Apply,விண்ணப்பி,everyday
Appreciate,பாராட்டு,everyday
Approach,அணுகு,everyday
Approve,ஒப்புதல் அளி,everyday
Are,உள்ளன,everyday
Argue,வாதிடு,everyday
Arise,எழு,everyday
Arrange,ஏற்பாடு செய்,everyday
Arrive,வந்து சேர்,everyday
Ask,கேள்,everyday
Assist,உதவு,everyday
Associate,கூட்டாளி,everyday
Assume,கருது,everyday
Assure,உறுதியளி,everyday
Attach,இணை,everyday
Attack,தாக்கு,everyday
Attempt,முயற்சி,everyday
Attend,கலந்துகொள்,everyday
Attract,ஈர்,everyday
Avoid,தவிர்,everyday
Bake,சுடு,everyday
Balance,சமநிலை,everyday
Battle,போர்,everyday
Bear,தாங்கு,everyday
Beat,அடி,everyday
Become,ஆகு,everyday
Begin,தொடங்கு,everyday
Behave,நடந்துகொள்,everyday
Believe,நம்பு,everyday
Belong,சேர்ந்தது,everyday
