english,chinese,category
Abdominal,腹部的,medical
Accident,事故,medical
Abuse,虐待,medical
Addict,瘾君子,medical
Agony,极度痛苦,medical
Ailment,病痛,medical
Alcohol,酒精,medical
Amputation,截肢,medical
Anaesthetic,麻醉剂,medical
Bandage,绷带,medical
Bleed,流血,medical
Blind,失明的,medical
Clinical,临床的,medical
Contusion,挫伤,medical
Convalesce,康复,medical
Convulsion,抽搐,medical
Cough,咳嗽,medical
Cramp,抽筋,medical
Crutch,拐杖,medical
Cure,治愈,medical
Debility,虚弱,medical
Defecate,排便,medical
Delirious,神志不清的,medical
Dentist,牙医,medical
Depression,抑郁,medical
Diabetes,糖尿病,medical
Disease,疾病,medical
Doctor,医生,medical
Febrile,发热的,medical
Fever,发烧,medical
Fracture,骨折,medical
Gargle,漱口,medical
Gash,深伤口,medical
Lesion,病变,medical
Ligament,韧带,medical
Measles,麻疹,medical
Medical,医疗的,medical
Mental,精神的,medical
Nurse,护士,medical
Pain,疼痛,medical
Palpate,触诊,medical
Panting,气喘吁吁,medical
Paralyse,瘫痪,medical
Patient,病人,medical
Protein,蛋白质,medical
Poultice,敷剂,medical
Relax,放松,medical
Relief,缓解,medical
Spine,脊柱,medical
Shiver,发抖,medical
Shock,休克,medical
Sneeze,打喷嚏,medical
Suicide,自杀,medical
Swelling,肿胀,medical
Tablet,药片,medical
Temperature,体温,medical
Abuse,虐待,everyday
Accept,接受,everyday
Access,进入/使用,everyday
Accuse,指控,everyday
Achieve,达到,everyday
Acknowledge,承认,everyday
Acquire,获得,everyday
Act,行动,everyday
Adapt,适应,everyday
Add,添加,everyday
Adjust,调整,everyday
Admire,钦佩,everyday
Admit,承认,everyday
Adopt,采纳,everyday
Adore,崇拜,everyday
Advance,前进,everyday
Affect,影响,everyday
Afford,买得起,everyday
Agree,同意,everyday
Allow,允许,everyday
Amaze,使惊奇,everyday
Amount,总计,everyday
Anger,使愤怒,everyday
Announce,宣布,everyday
Answer,回答,everyday
Anticipate,预料,everyday
Apologize,道歉,everyday
Appeal,恳求,everyday
Appear,出现,everyday
Apply,申请,everyday
Appreciate,欣赏,everyday
Approach,接近,everyday
Appropriate,合适的,everyday
Approve,批准,everyday
Are,是,everyday
Argue,争论,everyday
Arise,出现,everyday
Arrange,安排,everyday
Arrive,到达,everyday
Ask,问,everyday
Assist,协助,everyday
Associate,联系,everyday
Assume,认为,everyday
Assure,保证,everyday
Attach,附上,everyday
Attack,攻击,everyday
Attempt,试图,everyday
Attend,出席,everyday
Attract,吸引,everyday
Avoid,避免,everyday
Bake,烤,everyday
Balance,平衡,everyday
Base,以…为根据,everyday
Battle,战斗,everyday
Bear,承受,everyday
Beat,打,everyday
Become,变得,everyday
Bed,床,everyday
Been,到过,everyday
Begin,开始,everyday
Behave,表现,everyday
Being,存在,everyday
Believe,相信,everyday
Belong,属于,everyday
Bend,弯曲,everyday
Bet,打赌,everyday
Bid,出价,everyday
Blame,责备,everyday
Block,堵塞,everyday
Blow,吹,everyday
Born,出生,everyday
Borrow,借入,everyday
Bother,打扰,everyday
Break,打破,everyday
Bring,带来,everyday
Brush,刷,everyday
Build,建造,everyday
Burn,烧伤,everyday
Burst,爆裂,everyday
Buy,买,everyday
Calculate,计算,everyday
Call,称呼,everyday
Camp,露营,everyday
Cancel,取消,everyday
Care,关心,everyday
Carry,携带,everyday
Cash,兑现,everyday
Catch,抓住,everyday
Cause,导致,everyday
Celebrate,庆祝,everyday
Change,改变,everyday
Chart,图表,everyday
Check,查看,everyday
Choose,选择,everyday
Claim,宣称,everyday
Clean,打扫,everyday
Clear,清除,everyday
Click,点击,everyday
Close,关闭,everyday
Collect,收集,everyday
Combine,结合,everyday
Come,来,everyday
Command,命令,everyday
Comment,评论,everyday
Commit,犯（错/罪）,everyday
Communicate,交流,everyday
Company,公司,everyday
Compare,比较,everyday
Compete,竞争,everyday
Complain,抱怨,everyday
Complete,完成,everyday
Concentrate,集中,everyday
Concern,忧虑,everyday
Confirm,确认,everyday
Conflict,冲突,everyday
Connect,连接,everyday
Consider,考虑,everyday
Consist,组成,everyday
Consult,咨询,everyday
Contact,联系,everyday
Contain,包含,everyday
Content,内容,everyday
Contest,比赛,everyday
Continue,继续,everyday
Contribute,贡献,everyday
Convert,转变,everyday
Convince,说服,everyday
Cook,烹饪,everyday
Copy,复制,everyday
Correct,改正,everyday
Cost,花费,everyday
Could,可以,everyday
Count,数数,everyday
Counter,柜台,everyday
Couple,夫妻,everyday
Cover,覆盖,everyday
Crack,裂缝,everyday
Craft,工艺,everyday
Crash,碰撞,everyday
Create,创造,everyday
Credit,信用,everyday
Crew,全体人员,everyday
Criticize,批评,everyday
Cross,穿过,everyday
Cry,哭,everyday
Curve,曲线,everyday
Cut,切,everyday
Cycle,循环,everyday
Damage,损害,everyday
Dance,跳舞,everyday
Dare,敢,everyday
Date,日期,everyday
Deal,交易,everyday
Debate,辩论,everyday
Decide,决定,everyday
Delay,延迟,everyday
Deliver,递送,everyday
Demand,要求,everyday
Deny,否认,everyday
Depend,依靠,everyday
Describe,描述,everyday
Deserve,应得,everyday
Design,设计,everyday
Desire,渴望,everyday
Destroy,破坏,everyday
Determine,决定,everyday
Develop,发展,everyday
Die,死,everyday
Differ,不同,everyday
Dig,挖,everyday
Disagree,不同意,everyday
Disappear,消失,everyday
Disappoint,使失望,everyday
Discipline,纪律,everyday
Discount,折扣,everyday
Discover,发现,everyday
Discuss,讨论,everyday
Display,展示,everyday
Distance,距离,everyday
Distribute,分发,everyday
Divide,划分,everyday
Do,做,everyday
Does,做,everyday
Doubt,怀疑,everyday
Draft,草稿,everyday
Drag,拖,everyday
Draw,画,everyday
Dream,梦,everyday
Dress,穿衣,everyday
Drink,喝,everyday
Drive,驾驶,everyday
Drop,掉落,everyday
Dry,弄干,everyday
Earn,赚,everyday
Ease,缓解,everyday
Eat,吃,everyday
Effect,影响,everyday
Emphasize,强调,everyday
Employ,雇用,everyday
Encourage,鼓励,everyday
End,结束,everyday
Engage,从事,everyday
Enhance,提高,everyday
Enjoy,享受,everyday
Ensure,确保,everyday
Enter,进入,everyday
Escape,逃脱,everyday
Essay,散文,everyday
Establish,建立,everyday
Estimate,估计,everyday
Examine,检查,everyday
Exchange,交换,everyday
Excuse,借口,everyday
Exercise,锻炼,everyday
Exist,存在,everyday
Expand,扩张,everyday
Expect,预计,everyday
Experience,经历,everyday
Explain,解释,everyday
Explore,探索,everyday
Expose,暴露,everyday
Express,表达,everyday
Extend,延长,everyday
Face,面对,everyday
Fail,失败,everyday
Fall,落下,everyday
Fear,害怕,everyday
